2026-06-22 20:49:02.176 | INFO     | graph.graph_builder:build_math_agent_graph:232 - [GraphBuilder] 图编译完成 (无 checkpoint)
2026-06-22 20:49:35.260 | INFO     | utils.logger:setup_logger:86 - [日志系统] 已初始化: level=INFO, dir=./outputs\logs
2026-06-22 20:49:36.272 | INFO     | tools.intern_client:__init__:226 - [Intern-S1] 客户端已初始化: model=deepseek-v4-pro, base_url=https://api.deepseek.com, temperature=0.1
2026-06-22 20:49:36.720 | INFO     | graph.graph_builder:build_math_agent_graph:137 - [GraphBuilder] 开始构建 LangGraph 工作流图...
2026-06-22 20:49:36.734 | INFO     | graph.graph_builder:build_math_agent_graph:232 - [GraphBuilder] 图编译完成 (无 checkpoint)
2026-06-22 20:49:53.731 | INFO     | utils.logger:setup_logger:86 - [日志系统] 已初始化: level=INFO, dir=./outputs\logs
2026-06-22 20:49:53.731 | INFO     | __main__:run_single:116 - 单题求解模式启动
2026-06-22 20:49:53.731 | INFO     | __main__:run_single:117 - 问题: x^5-x^4+x^3-6x=8...
2026-06-22 20:49:54.703 | INFO     | graph.workflow:__init__:52 - [Workflow] 初始化 MathAgentWorkflow...
2026-06-22 20:49:54.704 | INFO     | graph.graph_builder:build_math_agent_graph:137 - [GraphBuilder] 开始构建 LangGraph 工作流图...
2026-06-22 20:49:54.720 | INFO     | graph.graph_builder:build_math_agent_graph:232 - [GraphBuilder] 图编译完成 (无 checkpoint)
2026-06-22 20:49:54.720 | INFO     | graph.workflow:__init__:57 - [Workflow] 工作流初始化完成
2026-06-22 20:49:54.720 | INFO     | graph.workflow:solve:85 - ═══════════════════════════════════════════
2026-06-22 20:49:54.720 | INFO     | graph.workflow:solve:86 - [Workflow] 开始求解: id=q_c8189b03
2026-06-22 20:49:54.721 | INFO     | graph.workflow:solve:87 - [Workflow] 问题: x^5-x^4+x^3-6x=8...
2026-06-22 20:49:54.721 | INFO     | graph.workflow:solve:88 - ═══════════════════════════════════════════
2026-06-22 20:49:54.728 | INFO     | graph.nodes:cache_check_node:1003 - [Cache] 检查缓存: q_c8189b03
2026-06-22 20:49:55.217 | INFO     | cache.problem_cache:__init__:71 - [Cache] ChromaDB 缓存已初始化, 已有 2 条记录
2026-06-22 20:50:10.271 | INFO     | cache.problem_cache:__init__:83 - [Cache] 嵌入模型已加载: all-MiniLM-L6-v2
2026-06-22 20:50:10.271 | INFO     | cache.problem_cache:__init__:92 - [Cache] 缓存系统就绪: threshold=0.92, vector=True, embed=True
2026-06-22 20:50:10.308 | INFO     | graph.nodes:cache_check_node:1036 - [Cache] 未命中 (已有2条缓存, 命中率0.0%)
2026-06-22 20:50:10.309 | INFO     | graph.graph_builder:router_after_cache:173 - [Router] 缓存未命中 → 进入完整求解流程
2026-06-22 20:50:10.311 | INFO     | graph.nodes:problem_parser_node:52 - [Parser] 开始解析问题: q_c8189b03
2026-06-22 20:50:10.357 | INFO     | tools.intern_client:__init__:226 - [Intern-S1] 客户端已初始化: model=deepseek-v4-pro, base_url=https://api.deepseek.com, temperature=0.1
2026-06-22 20:50:19.350 | INFO     | graph.nodes:problem_parser_node:71 - [Parser] 解析完成: type=calculation, keywords=['多项式方程', '五次方程', '求根']
2026-06-22 20:50:19.351 | INFO     | graph.nodes:classifier_node:213 - [Classifier] 开始领域分类: q_c8189b03
2026-06-22 20:50:22.265 | INFO     | graph.nodes:classifier_node:253 - [Classifier] 分类完成: domain=algebra (代数), confidence=0.98, solver=algebra_solver
2026-06-22 20:50:22.265 | INFO     | graph.graph_builder:router_after_classifier:76 - [Router] 分类成功 (algebra), 进入 RAG 检索
2026-06-22 20:50:22.266 | INFO     | graph.nodes:rag_retrieval_node:411 - [RAG] 开始知识检索: q_c8189b03
2026-06-22 20:50:22.296 | INFO     | rag.retriever:__init__:48 - [RAG] ChromaDB 检索器已初始化
2026-06-22 20:50:23.053 | INFO     | graph.nodes:rag_retrieval_node:442 - [RAG] 检索完成: theorems=0, formulas=0, examples=0
2026-06-22 20:50:23.054 | INFO     | graph.nodes:solver_dispatcher_node:477 - [Solver] 调度 Solver: algebra_solver → 问题 q_c8189b03
2026-06-22 20:53:12.010 | INFO     | utils.logger:setup_logger:86 - [日志系统] 已初始化: level=INFO, dir=./outputs\logs
2026-06-22 20:53:12.011 | INFO     | __main__:run_single:116 - 单题求解模式启动
2026-06-22 20:53:12.011 | INFO     | __main__:run_single:117 - 问题: x^2-2x+1=0...
2026-06-22 20:53:13.002 | INFO     | graph.workflow:__init__:52 - [Workflow] 初始化 MathAgentWorkflow...
2026-06-22 20:53:13.003 | INFO     | graph.graph_builder:build_math_agent_graph:137 - [GraphBuilder] 开始构建 LangGraph 工作流图...
2026-06-22 20:53:13.018 | INFO     | graph.graph_builder:build_math_agent_graph:232 - [GraphBuilder] 图编译完成 (无 checkpoint)
2026-06-22 20:53:13.019 | INFO     | graph.workflow:__init__:57 - [Workflow] 工作流初始化完成
2026-06-22 20:53:13.019 | INFO     | graph.workflow:solve:85 - ═══════════════════════════════════════════
2026-06-22 20:53:13.019 | INFO     | graph.workflow:solve:86 - [Workflow] 开始求解: id=q_9c1d62ab
2026-06-22 20:53:13.020 | INFO     | graph.workflow:solve:87 - [Workflow] 问题: x^2-2x+1=0...
2026-06-22 20:53:13.020 | INFO     | graph.workflow:solve:88 - ═══════════════════════════════════════════
2026-06-22 20:53:13.027 | INFO     | graph.nodes:cache_check_node:1003 - [Cache] 检查缓存: q_9c1d62ab
2026-06-22 20:53:13.548 | INFO     | cache.problem_cache:__init__:71 - [Cache] ChromaDB 缓存已初始化, 已有 2 条记录
2026-06-22 20:53:28.284 | INFO     | cache.problem_cache:__init__:83 - [Cache] 嵌入模型已加载: all-MiniLM-L6-v2
2026-06-22 20:53:28.285 | INFO     | cache.problem_cache:__init__:92 - [Cache] 缓存系统就绪: threshold=0.92, vector=True, embed=True
2026-06-22 20:53:28.325 | INFO     | graph.nodes:cache_check_node:1036 - [Cache] 未命中 (已有2条缓存, 命中率0.0%)
2026-06-22 20:53:28.326 | INFO     | graph.graph_builder:router_after_cache:173 - [Router] 缓存未命中 → 进入完整求解流程
2026-06-22 20:53:28.327 | INFO     | graph.nodes:problem_parser_node:52 - [Parser] 开始解析问题: q_9c1d62ab
2026-06-22 20:53:28.389 | INFO     | tools.intern_client:__init__:226 - [Intern-S1] 客户端已初始化: model=deepseek-v4-pro, base_url=https://api.deepseek.com, temperature=0.1
2026-06-22 20:53:32.391 | INFO     | graph.nodes:problem_parser_node:71 - [Parser] 解析完成: type=calculation, keywords=['一元二次方程', '完全平方', '解方程']
2026-06-22 20:53:32.392 | INFO     | graph.nodes:classifier_node:213 - [Classifier] 开始领域分类: q_9c1d62ab
2026-06-22 20:53:35.052 | INFO     | graph.nodes:classifier_node:253 - [Classifier] 分类完成: domain=algebra (代数), confidence=0.98, solver=algebra_solver
2026-06-22 20:53:35.052 | INFO     | graph.graph_builder:router_after_classifier:76 - [Router] 分类成功 (algebra), 进入 RAG 检索
2026-06-22 20:53:35.053 | INFO     | graph.nodes:rag_retrieval_node:411 - [RAG] 开始知识检索: q_9c1d62ab
2026-06-22 20:53:35.077 | INFO     | rag.retriever:__init__:48 - [RAG] ChromaDB 检索器已初始化
